f(351), f(1069), f(343), f(453), f(249), u(779,554), f(1967), f(1532), 
u(653,1918), u(501,1972), f(1841), f(1374), f(1714), f(1157), f(758), f(1601), 
f(580), f(155), f(378), f(479), f(843), f(348), f(1185), f(448), 
f(1638), u(830,1393), f(442), f(305), f(536), f(73), f(1490), u(1688,1318), 
f(187), f(310), u(1436,454), f(964), f(1865), f(1115), f(1429), f(1817), 
f(1419), f(1331), f(1165), f(144), u(806,1369), f(54), u(1472,1683), f(1369), 
f(96), u(1416,1142), f(1998), f(1236), f(1808), f(264), f(1402), f(1276), 
f(1427), u(1818,562), f(930), f(1221), f(734), f(1223), f(441), f(633), 
f(338), f(9), f(1344), f(414), f(332), f(1005), f(405), f(1831), 
u(590,707), f(98), f(1335), u(1518,1176), u(292,1805), u(1173,1429), f(1170), f(970), 
f(1425), f(1569), f(1848), u(383,119), f(1416), f(624), f(500), u(1533,523), 
f(1518), u(1072,928), u(23,318), u(140,1783), f(15), f(218), u(529,1566), u(85,1072), 
u(694,361), f(1128), f(1693), f(1365), u(437,1085), u(604,942), f(443), u(681,341), 
f(1703), f(1086), f(1457), f(1224), f(1249), u(223,1772), f(1003), f(715), 
u(1175,1049), f(380), f(59), f(72), u(1108,62), f(519), f(1078), f(454), 
u(1400,233), f(1227), f(311), u(837,1514), f(345), u(1497,548), f(1922), f(1632), 
f(1707), f(808), f(800), f(1671), f(629), u(1870,1307), f(1139), u(1096,558), 
f(1314), f(1975), u(849,1462), f(1285), f(383), u(1320,1089), f(1116), u(1158,1317), 
f(266), f(1030), u(1369,1894), f(183), u(1906,1273), u(729,759), u(1508,506), f(161), 
f(1477), f(833), u(160,818), f(1625), f(1129), f(1360), f(1777), f(1678), 
u(778,1186), u(925,43), f(2), f(786), f(309), f(759), f(820), f(916), 
f(1487), u(690,1069), u(800,702), f(1423), f(1434), u(812,557), u(1168,1947), u(1247,1556), 
u(1875,237), f(565), f(593), f(1712), u(526,1155), f(825), f(1167), u(835,235), 
f(127), f(1795), f(1681), u(938,492), u(141,893), f(665), u(646,1688), f(1517), 
f(107), f(316), f(263), f(265), u(50,1501), f(302), f(230), u(1247,719), 
f(132), f(235), u(1663,1851), f(592), f(588), f(1637), f(712), f(1818), 
f(1749), u(55,474), f(1748), f(1318), u(1591,276), f(1584), f(1244), f(411), 
u(1411,821), f(905), u(1010,1141), u(744,551), f(1753), f(1502), u(582,460), u(931,1259), 
f(1889), f(138), f(1149), f(87), f(335), f(1009), f(806), f(109), 
f(36), u(1051,497), f(1570), f(1760), f(1148), f(232), f(663), f(1709),
