f(351), f(1069), f(343), f(453), f(249), u(779,554), f(1967), f(1532), 
u(653,1918), u(501,1972), f(1841), f(1374), f(1714), f(1157), f(758), f(1601), 
f(580), f(155), f(378), f(479), f(843), f(348), f(1185), f(448), 
f(1638), u(830,1393), f(442), f(305), f(536), f(73), f(1490), u(1688,1318), 
f(187), f(310), u(1436,454), f(964), f(1865), f(1115), f(1429), f(1817), 
f(1419), f(1331), f(1165), f(144), u(806,1369), f(54), u(1472,1683), f(1369), 
f(96), u(1416,1142), f(1998), f(1236), f(1808), f(264), f(1402), f(1276), 
f(1427), u(1818,562), f(930), f(1221), f(734), f(1223), f(441), f(633), 
f(338), f(9), f(1344), f(414), f(332), f(1005), f(405), f(1831), 
u(590,707), f(98), f(1335), u(1518,1176), u(292,1805), u(1173,1429), f(1170), f(970), 
f(1425), f(1569), f(1848), u(383,119), f(1416), f(624), f(500), u(1533,523), 
f(1518), u(1072,928), u(23,318), u(140,1783), f(15), f(218), u(529,1566), u(85,1072), 
u(694,361), f(1128), f(1693), f(1365), u(437,1085), u(604,942), f(443), u(681,341), 
f(1703), f(1086), f(1457), f(1224), f(1249), u(223,1772), f(1003), f(715), 
u(1175,1049), f(380), f(59), f(72), u(1108,62), f(519), f(1078), f(454), 
u(1400,233), f(1227), f(311), u(837,1514), f(345), u(1497,548), f(1922), f(1632), 
f(1707), f(808), f(800), f(1671), f(629), u(1870,1307), f(1139), u(1096,558), 
f(1314), f(1975), u(849,1462), f(1285), f(383), u(1320,1089), f(1116), u(1158,1317), 
f(266), f(1030), u(1369,1894), f(183), u(1906,1273), u(729,759), u(1508,506), f(161), 
f(1477), f(833), u(160,818), f(1625), f(1129), f(1360), f(1777), f(1678), 
u(778,1186), u(925,43), f(2), f(786), f(309), f(759), f(820), f(916), 
f(1487), u(690,1069), u(800,702), f(1423), f(1434), u(812,557), u(1168,1947), u(1247,1556), 
u(1875,237), f(565), f(593), f(1712), u(526,1155), f(825), f(1167), u(835,235), 
f(127), f(1795), f(1681), u(938,492), u(141,893), f(665), u(646,1688), f(1517), 
f(107), f(316), f(263), f(265), u(50,1501), f(302), f(230), u(1247,719), 
f(132), f(235), u(1663,1851), f(592), f(588), f(1637), f(712), f(1818), 
f(1749), u(55,474), f(1748), f(1318), u(1591,276), f(1584), f(1244), f(411), 
u(1411,821), f(905), u(1010,1141), u(744,551), f(1753), f(1502), u(582,460), u(931,1259), 
f(1889), f(138), f(1149), f(87), f(335), f(1009), f(806), f(109), 
f(36), u(1051,497), f(1570), f(1760), f(1148), f(232), f(663), f(1709), 
u(1327,526), f(18), f(1262), u(177,265), f(1143), u(1704,1125), f(1653), f(1201), 
f(48), f(1351), f(875), f(601), f(417), f(1631), u(114,1436), f(318), 
f(1992), f(1273), f(626), u(1837,634), f(535), f(632), u(224,993), f(392), 
f(1878), f(45), u(1577,1374), f(1304), u(521,716), u(1600,1), f(834), u(339,1121), 
f(426), f(969), f(1067), f(1549), f(981), f(1577), u(1421,151), u(452,810), 
f(1859), f(1190), f(1395), u(946,1829), f(776), f(1302), u(850,431), u(1700,1815), 
f(1677), f(1909), u(341,589), f(2000), f(1366), f(1305), f(1108), f(1449), 
f(688), u(1368,1957), u(1568,1982), u(736,288), f(1999), u(1809,21), u(1785,959), u(914,341), 
u(1038,477), f(720), f(1775), f(250), f(589), f(1725), f(1814), f(1602), 
f(725), f(1112), f(1611), f(771), f(261), f(538), u(289,25), u(847,262), 
u(1758,858), u(223,1172), u(132,943), u(1231,409), f(1719), f(571), f(1398), f(577), 
f(1544), f(1803), f(1715), f(1045), f(275), f(763), f(1279), u(1150,1421), 
u(892,1440), f(1512), f(1679), u(1152,1200), f(71), f(106), f(846), u(48,1633), 
u(3,689), f(1529), u(116,175), f(1463), u(1183,16), u(1843,855), f(121), u(1193,1964), 
f(594), f(1874), f(1264), f(982), f(406), u(270,546), u(379,649), f(559), 
f(797), f(514), u(1330,1376), f(590), f(697), f(1036), f(1541), f(276), 
f(1809), f(641), u(1838,516), f(1592), f(714), f(1726), f(852), f(602), 
f(70), f(1000), f(978), f(1630), f(46), f(1555), f(1211), f(1789), 
u(651,989), f(1438), f(182), f(570), f(1068), u(704,1484), f(1023), u(107,944), 
u(384,1423), u(1008,728), f(1424), f(389), f(1624), u(1555,1753), f(1275), u(1600,1372), 
f(1524), f(152), u(23,152), u(987,608), u(1893,1962), f(1987), u(1423,588), f(393), 
u(45,229), f(366), f(410), f(1951), f(1452), f(1420), f(1230), u(939,1307), 
u(1695,1), u(1296,63), f(1421), u(462,357), f(226), f(1930), f(1026), f(388), 
f(1033), f(192), u(406,711), f(1373), f(675), f(1061), f(1642), f(166), 
u(856,458), u(1350,395), f(97), f(1248), u(1747,1418), u(1849,157), f(190), f(1411), 
f(910), f(1802), u(1179,367), f(1038), f(881), f(1488), f(1888), f(581), 
u(1320,1870), u(1530,31), f(1056), u(546,52), f(99), f(1575), f(656), f(942), 
f(990), f(561), f(691), f(1444), f(1647), f(811), u(857,728), u(452,915), 
f(1581), f(1964), f(1893), f(1372), f(341), u(199,1798), u(384,658), u(1682,1313), 
f(425), f(1756), u(1837,215), f(64), f(165), u(1009,675), f(488), f(732), 
u(1848,868), f(400), f(8), f(1870), u(1479,703), f(340), f(1234), f(1877), 
f(503), f(809), u(1424,1903), u(1247,1925), f(1694), f(1394), f(650), u(725,368), 
f(871), f(319), f(939), u(1453,629), u(1133,1057), f(198), f(369), f(1596), 
f(128), f(792), f(1711), u(1913,152), f(387), f(622), u(1666,1604), u(145,559), 
f(542), u(309,354), f(1750), f(996), f(1113), f(1665), f(801), f(1687), 
f(796), u(189,507), u(561,825), f(567), f(1345), f(1382), f(350), u(1200,446), 
f(968), f(118), f(1773), f(1053), f(900), u(732,1782), f(765), f(1946), 
f(112), f(666), f(115), f(1730), f(296), u(817,1245), f(1066), f(1152), 
f(956), u(710,1100), f(740), f(1284), u(1492,746), f(1525), u(1993,1647), f(1845), 
f(251), f(308), f(838), f(189), f(1902), f(419), u(1879,976), f(1134), 
f(873), f(1090), f(1568), u(533,768), f(531), f(38), u(617,1507), u(1601,1493), 
f(1908), f(1621), f(664), u(1761,1783), u(1715,1630), u(1060,212), f(1914), u(405,928), 
f(568), f(911), f(1669), u(868,206), f(1650), f(376), f(1574), f(648), 
f(922), f(952), f(1534), u(626,1487), f(199), f(239), f(1470), u(269,1562), 
f(236), f(1471), f(1289), u(1855,1773), f(1883), u(575,1766), f(853), f(1153), 
u(230,993), f(1385), f(1850), f(25), f(785), f(1895), f(1997), f(1299), 
u(787,1410), f(481), u(557,214), f(798), f(919), f(769), u(1273,1276), f(862), 
f(452), f(810), f(509), u(1892,1957), u(1748,571), u(955,1072), u(1872,1757), f(1332), 
f(324), f(901), f(1556), f(935), u(749,536), u(1518,1738), u(999,444), f(921), 
f(1858), f(1941), u(610,7), f(1095), f(272), f(737), u(552,1572), f(1), 
f(1944), u(1540,879), u(1573,402), f(37), f(329), f(445), f(451), u(430,1688), 
f(1136), f(966), f(717), u(1078,43), f(1401), f(799), f(793), f(1690), 
u(1954,1603), u(37,526), f(416), f(1634), f(1554), u(1948,225), f(1860), u(811,206), 
f(1311), f(679), u(1840,1586), u(800,184), u(857,1934), f(336), u(510,782), f(1102), 
f(965), u(1677,1736), f(1856), u(632,121), f(934), f(947), u(568,903), u(359,1729), 
f(1018), f(1174), u(1438,1681), f(607), f(1333), f(1654), f(145), f(699), 
u(1441,1410), u(1527,1760), f(1001), u(1199,1261), u(591,68), f(1260), u(1076,1943), u(578,867), 
f(1648), u(1000,1941), f(1032), f(949), u(1838,77), f(698), f(926), f(435), 
u(185,721), f(117), u(488,334), f(424), u(587,1939), f(282), u(815,1350), f(477), 
f(888), f(270), f(823), f(1397), f(322), f(950), f(1784), f(49), 
f(1375), f(659), f(1448), f(179), u(1104,934), f(1875), u(1910,316), u(1483,449), 
f(985), f(92), f(551), f(39), f(472), u(944,322), f(1464), f(7), 
f(879), u(671,205), f(1169), f(604), u(1762,1109), f(423), f(246), f(184), 
u(1083,1480), f(1324), f(1599), f(432), f(116), f(596), f(114), f(1780), 
u(1666,1559), u(1255,367), f(1846), f(652), f(489), u(951,121), u(305,1834), f(760), 
f(1622), u(1541,235), u(1267,1584), f(317), u(962,949), f(4), f(268), f(1205), 
f(1916), u(948,1297), f(1140), u(888,64), f(360), f(149), f(1697), f(1764), 
u(294,1476), f(1109), f(1328), f(1926), u(1130,1779), u(482,492), u(1087,552), f(768), 
f(1698), f(1417), f(76), f(1242), f(1986), f(10), u(45,32), f(915), 
u(903,1168), f(1723), u(1857,982), u(1004,1532), u(204,583), f(778), f(358), u(937,377), 
u(1347,1650), f(1338), u(628,710), f(342), f(1217), f(1918), f(742), u(58,1691), 
f(1722), f(1228), f(382), u(821,969), f(1947), f(1290), u(254,1562), f(621), 
f(1618), f(95), f(238), f(1177), f(1241), f(1325), u(1310,984), f(1163), 
f(660), f(1897), u(153,1771), f(842), f(1504), f(277), f(1842), u(604,1227), 
f(1309), f(1191), f(252), f(1609), f(1323), u(91,154), u(1406,213), f(486), 
u(1981,1348), u(1226,1242), f(1746), u(550,521), f(1467), u(801,568), f(788), u(229,1069), 
f(1901), u(1416,403), f(556), f(219), f(1015), f(510), f(611), u(1030,1775), 
f(1354), f(867), f(772), f(260), f(1327), f(1540), f(1664), u(915,1225), 
u(1130,1288), f(43), f(1496), f(591), f(1050), f(1739), f(618), u(2000,361), 
f(690), f(1652), f(752), f(1126), u(1956,241), f(839), f(639), u(1324,1199), 
f(617), f(1537), f(882), f(44), u(788,1175), u(1391,122), f(1587), u(349,1517), 
f(1937), f(1837), f(828), f(747), f(1623), f(195), f(74), f(412), 
f(529), f(399), u(168,679), f(1686), f(1680), u(835,1098), f(20), f(1390), 
f(945), f(312), f(293), u(1794,187), f(53), f(1905), f(257), f(314), 
f(1724), u(756,977), f(1942), f(578), u(1872,446), f(932), f(1089), f(1491), 
u(1615,1024), u(727,831), f(1925), f(137), u(1526,1521), f(1811), f(958), f(210), 
f(1727), u(1842,1223), u(1350,1526), f(483), f(1455), f(1226), f(30), f(1031), 
u(1633,1426), f(937), f(1193), f(1476), f(213), u(1168,1666), f(1147), f(736), 
f(1105), f(1453), f(1308), u(1802,829), u(1108,1178), f(377), f(1886), f(496), 
f(980), f(13), u(1138,1080), u(1203,930), u(911,1790), u(1426,255), f(303), f(1583), 
f(1048), f(1955), f(1821), u(519,1098), u(1563,1914), f(1456), f(1867), f(1980), 
f(91), f(1430), u(1753,1611), u(799,377), u(390,174), f(1099), f(891), f(1629), 
f(212), f(5), f(672), u(1230,1044), f(1481), f(904), f(102), f(883), 
f(1117), f(347), u(273,1297), f(831), f(522), u(782,613), u(161,1929), f(1933), 
f(547), u(1958,1122), u(1565,929), f(1668), f(661), f(180), u(1717,1244), f(647), 
f(541), u(1190,221), f(1100), f(1093), f(1550), f(1183), f(1316), f(431), 
u(239,899), f(1195), f(160), f(892), u(58,1875), u(968,152), f(1272), f(1051), 
f(24), u(1058,717), f(69), f(1560), f(1546), f(1246), u(311,1637), f(1605), 
f(1743), f(1393), f(1968), f(1064), f(1378), u(941,307), f(1293), f(29), 
f(1383), f(1361), u(451,656), f(667), f(1435), f(1880), f(1277), f(1645), 
f(1445), f(555), f(371), f(35), f(1392), f(963), u(1723,361), f(1806), 
f(209), f(1389), f(508), f(1562), u(715,1935), u(309,1961), f(259), f(777), 
f(355), f(1627), u(56,1405), u(875,1004), f(874), f(427), f(1820), f(1829), 
f(669), u(601,1910), f(1079), f(576), u(830,1454), f(3), f(1847), f(125), 
f(202), u(627,1580), u(625,1125), f(552), f(1572), u(766,1503), u(600,1664), f(294), 
f(546), f(991), f(396), f(1358), u(1422,1165), u(235,127), f(983), f(1156), 
f(247), u(411,1113), f(1492), f(1480), f(129), f(1406), f(1839), f(1635), 
f(158), f(1312), f(1237), f(1254), u(819,301), f(1559), f(1761), f(1682), 
f(325), u(10,1889), f(1024), u(109,1898), f(739), u(840,1742), u(140,763), u(271,1869), 
f(1074), f(1101), f(1953), f(844), u(1758,1479), f(1515), f(1663), f(1716), 
f(1384), f(1376), u(273,1011), f(1103), f(993), u(1678,921), f(1135), f(373), 
u(1161,843), f(1920), u(714,145), f(645), u(673,1646), f(11), f(872), f(1597), 
u(1849,687), f(658), f(1834), f(1943), f(150), f(1810), f(135), f(1154), 
u(1096,599), f(1257), f(361), f(1391), u(1823,1875), u(1975,888), u(1170,1551), f(1736), 
f(193), f(437), f(429), f(1794), f(944), f(1347), f(1884), f(1563), 
f(88), f(1202), f(1779), f(634), f(33), f(613), u(1594,1257), f(1008), 
f(1412), f(855), u(1594,651), f(222), f(515), u(425,1242), f(495), u(1971,1102), 
f(1767), f(1415), u(820,1602), f(86), u(966,1967), f(1717), f(281), f(21), 
f(1843), f(1058), f(1741), f(1017), f(738), f(682), u(1382,92), f(1520), 
u(1733,263), u(860,309), f(1606), f(457), f(307), f(1996), f(469), f(1833), 
u(1406,533), f(1662), f(1993), f(1881), f(26), f(188), f(1014), f(271), 
u(1385,165), u(58,1996), f(1658), f(914), f(300), f(93), f(721), f(753), 
f(1265), f(1982), f(297), u(102,1791), f(1527), f(286), f(90), f(304), 
u(403,1387), u(468,59), f(295), u(1055,572), f(1813), f(436), f(1263), u(835,976), 
f(1510), u(1647,1568), f(367), f(299), u(160,1116), f(370), u(184,1236), f(587), 
u(1444,781), f(662), f(1915), u(964,1934), u(1201,1241), f(1091), f(1255), f(1649), 
f(1545), f(572), u(919,579), f(784), f(363), u(1468,932), f(94), f(610), 
u(469,1825), f(1857), f(1825), f(569), f(1872), f(773), f(407), f(1799), 
u(579,1335), f(178), u(529,579), f(532), u(1837,1025), f(1990), f(460), f(612), 
f(139), f(684), u(668,198), u(557,1193), f(864), f(1096), f(68), f(1701), 
f(1198), f(1945), f(1566), u(1628,275), f(186), f(868), f(938), f(1931), 
u(1046,613), u(1911,1279), f(689), f(1949), u(1034,1145), f(1493), f(1873), f(780), 
f(269), f(898), f(1785), f(1934), u(1832,1089), f(1593), f(512), f(1337), 
f(285), f(787), f(1388), f(1984), u(921,321), u(1273,630), f(267), f(1182), 
f(122), f(1270), f(899), u(1315,772), f(953), u(411,1247), f(1187), f(283), 
f(439), f(1594), f(248), u(1114,429), f(1499), u(1536,1989), u(302,567), f(398), 
f(1830), f(1603), f(1641), u(32,1925), f(1370), f(1720), f(1863), f(1319), 
u(539,375), f(597), f(203), f(1728), f(1203), u(903,741), f(1239), f(1176), 
f(433), f(585), f(1155), f(848), u(549,1587), u(1644,1983), f(273), f(1428), 
u(1689,1083), f(1798), u(132,1431), u(1007,673), u(156,1210), u(1967,91), f(1626), f(728), 
f(1215), f(148), f(1910), f(794), f(1300), u(511,1380), f(362), u(1771,250), 
f(1142), u(1128,1084), f(644), f(447), f(1759), u(778,124), f(464), f(401), 
f(835), f(288), f(1616), f(298), f(52), f(544), u(270,1494), u(397,1015), 
f(242), u(711,685), f(1253), f(207), f(1977), u(254,989), u(635,1507), f(1969), 
f(22), u(102,878), f(783), f(28), u(691,413), f(1607), f(402), u(848,452), 
f(526), f(1150), u(66,1290), f(1229), u(784,412), f(1911), f(722), f(1974), 
u(1256,1011), f(1612), f(215), f(1822), u(413,329), f(84), f(1738), u(864,133), 
f(1256), f(174), u(367,1517), u(363,1788), f(1160), f(1219), u(708,1218), f(1440), 
f(1186), u(366,44), u(778,1477), f(540), f(744), u(189,1169), u(253,1987), u(1281,1284), 
u(727,115), u(1178,1776), f(995), u(1664,216), f(120), f(1004), f(1552), u(1438,1516)
